Date,High,Low,Open,Close,BTC_diff,Mcap_diff,Vol_diff,xBTCx,diff1,ETH,ETH_diff,Eth_Mcap_diff,Eth_vol_diff,TETH_vol_diff,TETH_Mcap_diff,SP,SP_diff,SP_vol_diff,DJI,DJI_diff,DJI_vol_diff,NAS,NAS_diff,NAS_vol_diff,Gold,Gold_diff,Gold_vol_diff,TRE,TRE_diff
2016-04-30,455.5870056,447.696991,455.178009,448.3179932,-6.778991700000006,-103340499,20064100,3.5570068000000106,6.085998599999982,8.813980103,1.3566899300000008,108211902.70000005,27811220,308272,0,2065.3,0,0,17773.64,0,0,4775.359863,0,0,1289.2,0,0,1.82,0
2016-05-01,452.4790039,447.927002,448.4840088,451.875,3.5570068000000106,56852236,-28662500,-7.205993700000022,-6.778991700000006,8.846500397,0.03252029399999934,2862708.100000024,-19859500,-405272.5,0,2065.3,0,0,17773.64,0,0,4775.359863,0,0,1289.2,0,0,1.82,0
2016-05-02,452.4450073,441.776001,451.9330139,444.6690063,-7.205993700000022,-109921320,51466900,5.634979299999998,3.5570068000000106,10.16320038,1.3166999829999995,105156511.39999998,24305400,144434.5,0,2081.43,16.129999999999654,-863610000,17891.16,117.52000000000044,-565700,4817.589844,42.22998100000041,-496000000,1294.7,5.5,-272,1.87,0.050000000000000044
2016-05-03,451.0969849,442.6170044,444.7269897,450.3039856,5.634979299999998,89035072,-32760600,-3.5820006999999805,-7.205993700000022,9.31126976,-0.8519306199999992,-67559366.89999998,-19555300,214988,0,2063.37,-18.059999999999945,332280000,17750.91,-140.25,169600,4763.220215,-54.369628999999804,103880000,1290.7,-4,-41,1.8,-0.07000000000000006
2016-05-04,450.3779907,445.6300049,450.1830139,446.7219849,-3.5820006999999805,-53664801,-8959100,1.2540283000000159,5.634979299999998,9.413769722,0.10249996199999956,8463218,-3841500,-193252,0,2051.12,-12.25,-114830000,17651.26,-99.65000000000146,-20400,4725.640137,-37.58007799999996,-33540000,1273.3,-17.40000000000009,-42,1.78,-0.020000000000000018
2016-05-05,448.506012,445.8829956,446.7109985,447.9760132,1.2540283000000159,21170047,33500,11.626983600000017,-3.5820006999999805,9.826100349,0.4123306270000011,33179955.099999905,673800,538597,0,2050.63,-0.4899999999997817,-50030000,17660.71,9.450000000000728,-134900,4717.089844,-8.550293000000238,-62450000,1271.4,-1.8999999999998636,221,1.75,-0.030000000000000027
2016-05-06,461.375,447.0679932,447.9419861,459.6029968,11.626983600000017,182224956,22356000,-1.0669861000000083,1.2540283000000159,9.346639633,-0.4794607160000002,-37937566.399999976,3214400,1993837,0,2057.14,6.5099999999997635,-212180000,17740.63,79.92000000000189,-15100,4736.160156,19.07031199999983,-27550000,1292.9,21.5,-25,1.78,0.030000000000000027
2016-05-07,460.6749878,457.3240051,459.6390076,458.5360107,-1.0669861000000083,-14834568,-34432300,0.011993499999960022,11.626983600000017,9.370510101,0.023870468000000145,2200366.5,-10704100,-2674527.20312,0,2057.14,0,0,17740.63,0,0,4736.160156,0,0,1292.9,0,0,1.78,0
2016-05-08,459.4169922,455.9830017,458.4289856,458.5480042,0.011993499999960022,2100658,1950500,1.9349975000000086,-1.0669861000000083,9.482930183,0.11242008199999987,9273926.899999976,4224500,6975.90625,0,2057.14,0,0,17740.63,0,0,4736.160156,0,0,1292.9,0,0,1.78,0
2016-05-09,462.4809875,456.5310059,458.2059937,460.4830017,1.9349975000000086,32004650,15178100,-9.588012699999979,0.011993499999960022,9.297730446,-0.18519973700000136,-14490870.599999905,-1945700,244407.29687000002,0,2058.69,1.550000000000182,-7730000,17705.91,-34.720000000001164,55700,4750.209961,14.049804999999651,-235700000,1265.6,-27.300000000000182,36,1.76,-0.020000000000000018
